"id","age","sex","education","nfc01","nfc02","nfc03","nfc04","nfc05","nfc06","nfc07","nfc08","nfc09","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","action_orientation","effortful_control","self_control"
189,27,"Female","Abitur",6,3,3,2,6,4,1,1,1,1,1,1,6,2,1,1,12,12,12
191,25,"Female","Abitur",5,4,5,2,6,3,2,3,1,5,1,2,3,3,3,3,6,-9,-9
192,23,"Female","Abitur",7,4,5,3,6,4,3,3,1,5,2,3,3,5,2,2,6,15,2
193,35,"Male","Abitur",7,6,5,5,6,7,5,5,6,5,5,5,5,5,2,2,5,9,12
194,24,"Female","Abitur",3,5,3,4,5,1,3,2,1,4,3,4,3,3,1,1,11,-1,-4
195,20,"Male","Abitur",6,4,3,5,6,4,4,5,3,4,3,3,2,4,3,2,13,4,-3
196,20,"Male","Abitur",7,6,6,1,7,2,2,1,1,2,2,2,6,2,1,1,15,44,16
198,19,"Female","Abitur",4,4,4,2,6,4,3,3,4,3,2,2,5,4,4,4,9,7,-4
199,21,"Male","Abitur",7,7,6,1,5,3,1,3,1,1,1,2,4,2,1,1,16,20,5
200,20,"Female","Abitur",6,5,5,1,7,4,2,5,2,2,2,1,3,1,1,2,6,14,12
201,25,"Female","Abitur",6,4,3,2,7,2,2,2,3,3,2,3,4,4,3,3,11,-10,1
202,21,"Male","Abitur",6,6,5,6,6,3,3,2,2,2,4,2,4,5,2,3,10,8,-5
203,29,"Female","Abitur",6,5,6,1,7,2,2,2,2,2,1,1,4,4,2,2,9,-9,-1
204,24,"Female","Abitur",6,4,7,1,7,3,3,3,2,2,4,1,3,1,1,1,8,16,1
210,23,"Male","Abitur",6,5,3,2,3,3,2,5,3,2,3,2,5,3,1,1,7,2,-4
211,24,"Male","Abitur",7,7,5,2,6,5,2,2,2,1,2,2,5,4,3,1,19,14,5
212,24,"Female","Abitur",4,3,5,1,7,2,2,4,2,2,3,1,4,1,1,2,5,21,3
213,25,"Female","Abitur",5,4,4,6,7,5,4,3,4,1,1,1,4,1,1,1,14,30,13
215,25,"Female","Abitur",7,7,6,1,7,4,1,1,1,3,1,1,7,7,1,1,1,2,0
218,19,"Male","Abitur",7,3,5,3,6,1,3,3,3,3,2,3,4,1,2,3,9,15,10
220,21,"Female","Abitur",5,5,4,4,6,1,3,6,2,6,5,2,4,3,2,1,8,18,8
221,37,"Female","Abitur",7,5,4,3,5,3,3,3,3,3,2,2,5,4,2,1,18,9,4
223,19,"Female","Abitur",3,4,4,2,7,3,2,3,1,7,2,4,4,2,5,5,5,-45,-16
224,28,"Female","Abitur",5,3,4,3,5,3,3,3,4,3,3,3,5,3,4,5,6,8,-6
225,30,"Male","Abitur",5,4,3,3,5,7,4,2,4,7,2,2,1,1,3,5,8,31,-16
226,20,"Male","Abitur",6,3,2,5,6,3,6,7,2,1,2,1,5,5,3,2,10,2,0
228,27,"Male","Abitur",3,3,3,5,5,6,6,2,6,7,7,5,2,2,4,4,4,-12,-9
229,32,"Female","Abitur",6,6,4,5,5,4,1,4,1,6,5,2,5,3,1,2,15,19,9
230,23,"Female","Abitur",6,4,2,2,6,2,4,4,2,2,5,2,3,3,1,1,14,-6,-9
231,20,"Male","Abitur",7,7,5,2,7,2,1,3,1,2,3,2,6,6,2,2,9,13,-2
233,20,"Female","Abitur",7,7,5,2,7,4,2,1,1,2,2,2,5,4,1,1,12,24,-3
234,24,"Male","Abitur",6,6,5,3,5,4,3,5,2,3,1,3,5,4,5,3,7,29,3
235,24,"Male","Abitur",6,6,4,5,7,5,3,4,2,3,1,4,5,3,2,1,8,-7,-7
236,33,"Male","Abitur",7,7,6,1,7,5,1,1,2,2,1,2,5,5,1,1,6,31,13
237,28,"Female","Abitur",6,7,6,1,6,4,2,2,2,3,1,4,5,6,1,3,13,19,9
239,22,"Female","Abitur",5,4,3,4,6,3,3,4,2,3,4,3,4,3,4,4,3,-9,-6
241,29,"Female","Other",7,6,6,2,7,3,1,2,2,1,1,1,5,4,1,1,15,-3,-8
244,34,"Female","Abitur",7,4,3,4,4,5,5,6,3,4,3,4,3,3,3,3,13,8,7
245,24,"Male","Abitur",4,6,5,1,5,6,5,6,6,6,2,3,2,3,3,2,2,-7,-3
247,25,"Female","Abitur",6,7,7,1,6,4,2,3,2,3,2,1,5,4,1,2,17,27,11
248,24,"Female","Abitur",7,7,6,1,7,2,1,2,1,3,1,1,7,5,1,1,5,28,2
251,28,"Male","Abitur",5,4,3,1,5,4,3,3,2,5,2,3,3,3,1,1,10,8,2
252,22,"Female","Abitur",5,4,5,2,6,5,3,5,2,5,2,3,6,4,1,1,6,12,-13
254,28,"Female","Abitur",5,6,5,5,6,3,2,5,2,5,2,3,6,6,2,2,9,11,2
255,23,"Female","Abitur",6,6,5,1,7,5,1,3,1,5,1,1,4,3,1,2,7,7,-8
256,25,"Female","Abitur",3,6,5,3,6,4,2,3,2,3,4,4,2,2,4,3,1,6,-7
257,25,"Male","Abitur",6,4,4,3,5,7,2,4,3,4,3,3,4,3,1,2,16,2,-10
258,27,"Male","Abitur",7,6,6,1,7,3,2,7,3,1,1,3,7,6,3,3,18,37,13
259,25,"Male","Abitur",6,5,4,3,5,3,2,4,4,3,3,2,4,4,2,2,16,15,4
262,23,"Female","Abitur",3,4,4,5,5,4,4,5,4,5,4,3,2,2,3,3,4,6,5
263,19,"Female","Abitur",5,4,4,6,4,3,2,5,3,2,6,3,6,4,2,1,12,-1,-3
264,19,"Male","Abitur",7,7,5,1,7,2,3,2,1,1,1,1,6,7,1,1,17,20,3
265,24,"Male","Abitur",3,2,2,4,5,4,4,3,4,4,4,2,2,2,1,1,13,18,2
266,28,"Female","Abitur",6,3,2,1,7,5,1,1,1,3,1,2,5,5,2,2,13,20,1
267,25,"Female","Abitur",6,4,3,3,5,3,3,3,1,3,2,1,5,4,2,2,4,4,0
268,20,"Male","Abitur",6,7,5,2,6,2,2,2,2,4,2,2,5,6,2,1,21,19,-6
270,22,"Male","Abitur",6,5,4,3,6,4,2,3,3,3,4,3,5,4,3,3,10,-5,-4
271,21,"Male","Abitur",6,6,3,2,5,4,3,6,2,2,2,1,5,2,3,5,15,0,9
272,26,"Male","Abitur",3,3,4,5,5,2,4,6,5,4,4,5,2,1,3,4,2,-3,-8
273,26,"Male","Abitur",4,4,1,7,2,6,5,6,5,4,4,5,3,3,1,1,8,0,-6
277,28,"Female","Abitur",5,6,7,2,7,2,3,3,3,4,4,2,3,1,2,2,5,28,11
278,26,"Female","Abitur",6,6,6,1,7,4,2,1,1,2,4,4,4,4,1,2,6,16,3
279,26,"Male","Abitur",6,7,4,1,6,6,2,4,3,2,2,1,4,4,1,1,15,16,5
280,22,"Female","Abitur",4,7,4,3,7,4,1,1,1,1,1,1,7,7,2,1,7,-1,0
281,23,"Female","Abitur",5,4,6,1,6,2,3,6,6,5,4,2,3,2,1,1,13,14,14
282,25,"Female","Abitur",5,5,6,2,6,2,2,4,1,2,3,2,4,4,1,2,3,2,-9
283,22,"Male","Abitur",2,4,5,4,4,5,4,3,6,6,6,5,5,5,6,6,9,-4,-2
284,26,"Male","Abitur",7,5,4,3,5,3,4,3,1,5,5,3,3,4,5,5,15,24,13
285,29,"Female","Abitur",6,4,3,2,3,3,3,3,1,2,1,1,3,2,2,2,20,32,4
286,30,"Female","Abitur",3,3,2,4,5,6,4,6,5,7,5,2,2,2,3,4,6,-2,6
287,31,"Female","Abitur",7,7,5,1,5,2,1,1,1,1,1,1,7,1,1,1,15,33,4
289,24,"Male","Abitur",6,7,4,4,6,2,1,3,1,2,2,2,6,6,2,2,22,15,11
290,24,"Female","Abitur",6,3,5,1,5,3,5,4,2,3,3,3,4,2,4,4,5,27,10
291,21,"Male","Abitur",6,5,3,3,4,6,3,5,2,2,4,3,3,3,5,5,21,17,12
292,20,"Male","Abitur",7,4,5,1,7,3,3,2,2,4,1,5,7,5,3,1,20,18,7
293,25,"Male","Abitur",7,7,6,1,7,3,1,1,1,2,1,1,6,6,1,2,15,23,3
294,26,"Female","Abitur",6,5,4,2,5,4,1,1,1,2,4,2,4,4,2,2,14,25,19
296,24,"Male","Abitur",7,5,4,6,4,6,2,5,2,2,4,3,6,5,2,2,15,21,3
298,20,"Female","Abitur",5,5,4,2,6,2,4,3,3,2,3,2,3,1,3,4,12,21,-2
300,21,"Male","Abitur",6,5,5,1,7,3,3,2,3,2,2,4,4,5,5,4,13,20,8
303,38,"Male","Abitur",7,7,4,2,7,6,1,1,1,2,1,1,5,6,2,1,8,6,0
305,21,"Female","Abitur",5,4,5,4,5,4,4,5,3,4,5,3,3,1,2,3,6,2,-1
306,22,"Male","Abitur",7,7,4,1,5,3,2,4,2,2,4,1,5,5,1,1,15,12,4
308,22,"Male","Abitur",7,5,4,2,5,3,4,6,4,4,3,4,6,5,2,1,11,-15,-10
309,23,"Female","Abitur",5,5,3,2,7,1,2,3,1,2,1,3,5,4,1,1,7,0,-7
310,22,"Female","Abitur",6,7,6,6,6,3,2,2,2,1,1,1,6,7,1,1,8,-2,-1
312,21,"Female","Abitur",4,7,6,3,7,6,4,2,1,3,1,1,5,2,2,3,7,16,-9
313,32,"Female","Abitur",5,6,6,1,6,2,2,1,1,1,1,1,3,4,1,3,12,14,-8
314,24,"Female","Abitur",6,5,3,2,7,6,3,5,3,5,2,5,2,3,1,3,13,12,-1
316,28,"Female","Abitur",4,5,4,6,5,1,4,7,5,3,5,2,1,1,3,3,14,-3,8
320,20,"Male","Abitur",6,6,5,2,7,6,2,4,2,2,2,2,6,5,4,3,17,22,4
322,26,"Female","Abitur",5,5,4,3,6,6,4,6,5,7,5,4,3,3,5,5,9,9,2
323,20,"Male","Abitur",4,3,2,2,7,4,4,5,3,6,5,2,3,1,6,3,13,11,0
324,24,"Male","Abitur",7,7,6,2,6,2,1,2,2,2,2,2,5,4,1,1,20,14,18
326,22,"Female","Abitur",5,4,3,2,4,3,3,5,3,3,3,3,5,4,2,2,13,24,4
327,27,"Female","Abitur",6,4,5,2,5,4,3,3,3,4,3,3,6,5,5,5,15,23,2
331,19,"Male","Abitur",6,7,6,2,7,6,3,2,1,5,3,1,5,6,1,2,11,-7,-16
332,24,"Male","Abitur",4,7,5,1,7,4,1,1,1,4,2,4,1,1,2,2,4,-11,-14
333,24,"Female","Abitur",5,1,2,2,7,6,4,7,5,4,5,3,3,3,1,1,17,-4,-10
337,24,"Female","Abitur",6,6,4,6,7,3,2,3,1,1,1,1,4,4,5,4,19,32,-1
338,22,"Female","Abitur",6,6,3,2,7,3,2,5,1,2,6,2,4,5,1,2,10,0,1
342,26,"Female","Abitur",5,3,5,2,7,2,2,5,1,2,3,2,3,2,3,6,14,1,-1
344,23,"Male","Abitur",6,5,4,2,5,5,2,4,2,3,2,2,4,5,4,3,12,15,-7
345,20,"Male","Abitur",7,6,6,3,6,2,2,2,2,2,1,1,7,5,2,1,19,16,0
346,21,"Female","Abitur",6,5,3,5,7,4,5,6,2,5,2,3,4,3,5,5,14,-7,-6
347,21,"Male","Abitur",6,6,5,4,7,2,2,3,1,3,1,4,5,3,2,1,8,4,4
348,28,"Male","Abitur",6,6,4,2,6,1,1,1,2,2,2,2,4,5,1,1,9,1,1
349,22,"Male","Abitur",5,2,1,3,7,6,5,4,3,5,4,5,3,1,3,1,6,11,-6
350,25,"Female","Abitur",2,4,5,2,6,6,3,2,1,2,2,1,5,6,3,4,9,-7,-9
352,24,"Female","Abitur",5,5,2,5,4,2,5,7,2,3,6,3,2,7,2,2,13,5,4
353,26,"Female","Abitur",6,4,3,6,5,2,1,1,1,5,3,2,4,3,1,3,14,4,-6
354,22,"Male","Abitur",6,7,6,2,5,3,1,3,1,2,2,1,6,6,2,2,17,-1,4
355,25,"Male","Abitur",5,5,4,2,6,2,3,5,4,2,4,3,3,3,4,2,15,22,8
